,pre,2W,4W,6W,8W,10W,12W
0,77.83,0.009,0.026,0.0,0.002,0.001,0.003
1,5.37,0.123,0.0,0.168,0.085,0.001,0.296
2,23.29,0.192,0.0,0.027,0.002,0.001,0.06
3,20.0,0.009,0.0,0.06,0.002,0.001,0.035
4,4.66,0.122,0.01,0.0,0.01,0.0,0.01
5,14.28,0.628,0.0,0.0,0.004,0.001,0.13
6,5.4,0.16,0.003,0.0,0.001,0.038,0.004
7,13.016,0.361,0.088,0.053,0.001,0.072,0.013
8,14.989,0.137,0.0,0.01,0.008,0.001,0.24
9,37.069,0.862,0.049,0.0,0.001,0.01,0.003
10,31.91,1.229,0.0,0.016,0.001,0.006,0.016
11,10.864,0.365,0.0,0.154,0.084,0.001,0.013
12,73.481,5.131,0.345,0.1,0.051,0.32,0.144
13,10.035,0.422,0.098,0.105,0.009,0.2,0.013
14,21.91,0.547,0.0,0.04,0.002,0.001,0.126
15,46.2,1.628,0.269,0.179,0.125,0.168,0.222
16,214.0,0.022,0.01,0.017,0.003,0.024,0.037
17,6.78,0.211,0.027,0.009,0.001,0.001,0.009
18,10.5,0.246,0.024,0.195,0.085,0.251,0.012
19,8.3,0.309,0.022,0.008,0.001,0.002,0.003
20,27.75,0.76,0.11,0.1,0.01,0.14,0.013
21,5.1,0.3,0.089,0.0,0.002,0.0,0.082
22,8.439,0.308,0.0,0.025,0.001,0.001,0.026
23,16.93,0.6,0.22,0.163,0.187,0.01,0.208
24,43.673,1.556,0.253,0.185,0.126,0.289,0.013
25,8.573,0.205,0.024,0.013,0.001,0.007,0.009
26,16.85,0.39,0.06,0.05,0.002,0.06,0.07
27,56.175,1.967,0.001,0.06,0.075,0.091,0.15
28,28.0,0.38,0.04,0.01,0.003,0.001,0.01
29,41.28,0.68,0.14,0.108,0.014,0.17,0.013
30,9.6,0.165,0.035,0.04,0.001,0.072,0.012
31,9.44,0.36,0.13,0.123,0.046,0.011,0.23
32,17.722,0.64,0.068,0.024,0.002,0.001,0.06
33,15.34,0.318,0.041,0.033,0.001,0.001,0.011
34,21.78,0.806,0.11,0.15,0.07,0.009,0.09
35,13.284,0.377,0.02,0.005,0.001,0.001,0.002
36,23.11,0.78,0.08,0.05,0.07,0.001,0.11
37,13.99,0.19,0.05,0.0,0.04,0.001,0.004
38,11.82,0.41,0.048,0.0,0.04,0.001,0.05
39,19.27,0.479,0.0,0.201,0.085,0.001,0.013
40,11.4,1.5,1.06,1.02,0.148,0.094,0.296
41,71.0,1.85,0.275,0.0,0.039,0.096,0.004
42,13.9,0.009,0.2,0.0,0.021,0.01,0.004
43,52.625,0.006,0.0,0.0,12.382,0.001,0.005
44,20.253,5.362,4.91,0.856,0.484,0.28,0.13
45,39.63,0.009,0.108,8.391,0.092,0.001,0.013
46,5.68,0.011,0.6,0.373,0.14,0.011,0.013
47,48.5,2.338,1.91,0.897,0.04,2.5,0.419
48,18.45,1.65,0.99,0.853,0.148,0.061,0.296
49,15.92,0.94,1.26,1.169,0.14,0.144,0.296
50,104.369,1.2,0.714,0.915,0.158,0.011,0.013
51,10.759,0.009,0.112,0.777,0.091,0.001,0.013
52,62.4,2.8,2.42,8.175,0.158,0.321,0.427
53,11.34,1.91,1.953,0.898,0.038,2.43,0.288
54,27.38,7.63,5.78,5.56,0.58,0.306,0.427
55,17.7,0.008,7.5,1.12,4.1,0.154,0.289
56,42.864,1.338,0.365,0.003,0.039,0.434,0.004
57,71.53,3.821,2.764,0.9,0.041,3.12,0.419
58,28.1,0.078,0.006,0.34,0.092,0.001,0.013
59,14.591,1.163,0.001,0.0,3.81,0.001,0.005
60,32.4,1.132,0.0,0.0,0.008,0.001,0.29
61,105.21,5.17,3.455,2.606,0.158,0.322,0.427
62,79.97,4.292,5.31,6.75,0.59,0.322,0.427
63,85.763,4.889,1.995,3.949,0.158,0.298,0.427
64,100.448,0.009,0.108,1.95,0.1,0.001,0.013
65,35.0,0.01,3.67,2.81,0.141,0.155,0.297
66,675.53,1.186,296.798,1.158,0.486,0.165,0.289
67,205.0,0.139,1.93,5.82,0.15,0.16,0.298
68,71.1,9.22,7.688,17.601,0.59,0.326,0.427
